Descrizione;k;k_packaging
Bagnetto Verde;1;
Bagoss;1;
Baguette;1;
Baguette Ai Cereali;1;
Baguette Con Biga;1;
Baguette Con Semi Di Quinoa;1;
Baguette Demi / Mini Con Biga;1;
Baguette Demi / Mini Con Cereali;1;
Baguette Di Grano Duro;1;
Baguette Di Grano Duro E Sesamo;1;
Baguette Integrale;1;
Baguette Mediterranea;1;
Baguette Prestige;1;
Baguette Rustica;1;
Balente;1;
Banana Chips;1;
Banane;13.41;Sfuso
Banane Bio;1;
Banane Rosse;1;
Banane Selvatiche;1;
Bananito / Banane Baby;1;
Bananito / Banane Baby Bio;1;
Barbabietole Rosse Cotte;1;
Barricato Al Pepe;1;
Barzotto;1;
Base Per Pizza;1;
Basilico Bio;1;
Basilico In Vaso;1;
Basilico Sfuso / Mazzo;1;
Basilio;1;
Basilio Al Peperoncino;1;
Bastardo Del Grappa;1;
Bastoncini Di Pollo;1;
Battuta Fassona B. A.;1;
BBMix;1;
Bel Birbante;1;
Bel Paese;1;
Bel Sepi;1;
Belmonte Piceno;1;
Bergader Caciotta;2.65;
Bergader Cremosissimo;1;
Bergader Dolce / Edelpilz;1;
Bergader Piccante / Edelpilz;1;
Bergamotti;1;
Biancone Del Grappa;1;
Biancostato / Bollito B.A.;4.43;
Biancostato / Bollito Vitello;0.75;
Biancostato Piemontese B.A.;1;
Biancostato Scottona B.A.;1;
Biancostato Vitello;1;
Bieta / Bietola A Coste;1;
Bieta / Bietola A Coste Bio;1;
Bieta / Bietola A Coste Rosse;1;
Bieta In Busta;1;
Bietina / Bietolina / Erbette;1;
Birbe / Crocchette / Cricche Con Speck Pollo ;1;
Birbe / Crocchette / Cricche Pollo;1;
Birbe / Crocchette / Cricche Tacchino;1;
Birbe / Crocchette Di Pollo Gastronomia;1;
Birbe/Crocchette/Cricche Con Formaggio Pollo;1;
Birbe/Crocchette/Cricche Con Spinaci Pollo;1;
Bisalta;1;
Bistecca Costa / Costata Puledro;1;
Bistecca Costa Con Osso B.A.;1;
Bistecca Costa Con Osso Chianina B.A.;1;
Bistecca Costa Con Osso Irlandese B.A.;1;
Bistecca Costa Con Osso Scottona B.A.;1;
Bistecca Costa Con Osso Vitello;1;
Bistecca Costa Equino;1;
Bistecca Costa Senza Osso B.A.;1;
Bistecca Costa Senza Osso Chianina B.A.;1;
Bistecca Costa Senza Osso Irlandese B.A.;1;
Bistecca Costa Senza Osso Scottona B.A.;1;
Bistecca Costa Suino;7.43;
Bistecca Di Costa / Costata Cinghiale;1;
Bistecca Pollo;1;
Bistecca Tacchino;1;
Bistecche / Braciole / Nodini Di Lombo Suino;7.43;
Bistecche / Braciole Di Collo Suino;1.2;
Bistecche Di Collo Con Osso Cinghiale;1;
Bistecche Di Collo Senza Osso Cinghiale;1;
Bistecche Di Coppa Senza Osso Cinghiale;1;
Bistecche Di Fracosta / Reale B.A.;1;
Bistecche Di Fracosta / Reale Chianina B.A.;1;
Bistecche Di Fracosta / Reale Piemontese B.A.;1;
Bistecche Di Fracosta / Reale Scottona B.A.;1;
Bistecche Di Fracosta / Reale Vitello;1;
Bistecche Di Lombo / Sirloin B.A.;1;
Bistecche Di Lombo / Sirloin Chianina B.A.;1;
Bistecche Di Lombo / Sirloin Danese B.A.;1;
Bistecche Di Lombo / Sirloin Piemontese B.A.;1;
Bistecche Di Lombo / Sirloin Scottona B.A.;1;
Bistecche Di Lombo Cinghiale;1;
Bistecche Di Lombo Coniglio;1;
Bitto;1;
Bleu D'Auvergne;1;
Bleu Des Causses;1;
Blutunt;1;
Bocconcini / Cuori Di Baccal├á / Stoccafisso;1;
Bocconcini / Spezzatino / Cinghiale;1;
Bocconcini / Spezzatino Agnello;1;
Bocconcini / Spezzatino B.A.;1.85;
Bocconcini / Spezzatino Coniglio;1;
Bocconcini / Spezzatino Equino;1;
Bocconcini / Spezzatino Lepre;1;
Bocconcini / Spezzatino Piemontese B.A.;1;
Bocconcini / Spezzatino Pollo;1;
Bocconcini / Spezzatino Suino;1;
Bocconcini / Spezzatino Tacchino;1;
Bocconcini / Spezzatino Vitello;1.22;
Bocconcini Conditi Tacchino;1;
Bocconcini Di Bufala;1;
Bocconcini Di Bufala Affumicata;1;
Bocconcini Di Grano Duro;1;
Bocconcini Di Grano Tenero;1;
Bocconcini Di Pane;1;
Bocconcini Di Pane Ai Multicereali;1;
Bocconcini Di Pane Con Noci;1;
Bocconcini Di Pane Con Olive;1;
Bocconcini Di Pane Con Semi;1;
Bocconcini Di Pane Conditi;1;
Bocconcini Di Pane Integrali;1;
Bocconcini Di Pesce Spada;1;
Bocconcini Di Tonno;1.54;
Bocconcini Di Tonno A Pinne Gialle;1.54;
Bocconcini Impanati Pollo;1;
Bocconcini Latte Di Bufala;1;
Bocconcini Scottona B.A.;1;
Bocconcini Vaccina;1;
Boga;1;
Bollito B.A.;4.43;
Bollito Misto (B.A. E Gallina);1;
Bombette / Turcinieddi Suino;1;
Bon Roll / Rollata Di Pollo Condito;1;
Bon Roll / Rollata Di Pollo E Tacchino;1;
Bon Roll / Rollata Di Tacchino;1;
Bon Roll / Rollata Pollo E Tacchino Condito;1;
Bontaleggio;1;
Borgaiolo Stravecchio;1;
Bottarga Di Muggine;1;
Bottarga Di Muggine;1;
Bottarga Di Storione;1;
Bottarga Di Storione;1;
Bottarga Di Tonno;1;
Bottarga Di Tonno;1;
Boursalt;1;
Bozza Toscana;1;
Bra Duro;1;
Bra Tenero;1;
Braciole Di Coppa Con Osso Cinghiale;1;
Braciole Di Pollo;1;
Braciole Vitello;1;
Branzi;1;
Branzi Stagionato;1;
Brasato Barolo;1;
Brebiblu;1;
Brebidor;1;
Breganze;1;
Brenta Pinzolo;1;
Brenta Pinzolo Stagionato;1;
Bresaola;3.16;
Bresaola Al Forno;1;
Bresaola Chiavennasca;3.16;
Bresaola Di Black Angus;3.16;
Bresaola Di Chianina;3.16;
