descrizione;descrizione_bis
Hamburger Misto (Pollo E Tacchino);Hamburger Misto (Pollo E Tacchino) 
Hamburger Misto (Tacchino E Suino);Hamburger Misto (Tacchino E Suino) 
Hamburger Misto Black Angus E Kobe B. A.;Hamburger Misto Black Angus E Kobe B. A.
Hamburger Piemontese B.A.;Hamburger Piemontese B.A. 
Hamburger Pollo;Hamburger Pollo
Hamburger Scottona B.A.;Hamburger Scottona B.A.
Hamburger Suino;Hamburger Suino
Hamburger Tacchino;Hamburger Tacchino
Hamburger Vitello;Hamburger Vitello
Impasto Salsiccia;Impasto Salsiccia
Interiora / Frattaglie Agnello;Interiora / Frattaglie Agnello
Interiora / Frattaglie Pollo;Interiora / Frattaglie Pollo
Involtini B.A.;Involtini B.A.
Involtini Pollo;Involtini Pollo
Involtini Suino;Involtini Suino
Involtini Trippa B. A.;Involtini Trippa B. A.
Jambleu;Jambleu
Jambleu Tacchino;Jambleu Tacchino
Kebab Pollo;Kebab Pollo
Kebab Tacchino;Kebab Tacchino
Lingua B.A.;Lingua B.A.
Lingua Suino;Lingua Suino
Lingua Vitello;Lingua Vitello
Lombatine B.A;Lombatine B.A
Lombatine B.A.;Lombatine B.A.
Lombatine Coniglio;Lombatine Coniglio
Lombatine Suino;Lombatine Suino
Lonza / Arista A Fette Cinghiale;Lonza / Arista A Fette Cinghiale
Lonza / Arista A Fette Suino;Lonza / Arista A Fette Suino
Lonza / Arista A Tranci Suino;Lonza / Arista A Tranci Suino
Lonza / Arista Impanata Suino;Lonza / Arista Impanata Suino
Luganega Aromatizzata Suino;Luganega Aromatizzata Suino
Luganega B.A.;Luganega B.A.
Luganega Piccante B.A.;Luganega B.A.
Luganega Pollo;Luganega Pollo
Luganega Pollo E Tacchino;Luganega Pollo E Tacchino 
Luganega Piccante Suino;Luganega Suino
Luganega Suino;Luganega Suino
Luganega Tacchino;Luganega Tacchino
Macinato / Trita B.A.;Macinato / Trita B.A.
Macinato Per Rag¨ / Trita Sugo B.A.;Macinato / Trita B.A.
Macinato Anatra;Macinato Anatra
Macinato Black Angus B.A.;Macinato Black Angus B.A.
Macinato Chianina B.A.;Macinato Chianina B.A.
Macinato Coniglio;Macinato Coniglio 
Macinato Danese B.A.;Macinato Danese B.A.
Macinato Equino;Macinato Equino
Macinato Misto Suino E Bovino;Macinato Misto Suino E Bovino
Macinato Misto Suino E Tacchino;Macinato Misto Suino E Tacchino
Macinato Piemontese B.A.;Macinato Piemontese B.A.
Macinato Pollo;Macinato Pollo
Macinato Sceltissimo B.A.;Macinato Sceltissimo B.A.
Tritato Sceltissimo B.A.;Macinato Sceltissimo B.A.
Macinato Sceltissimo Vitello;Macinato Sceltissimo Vitello
Macinato Scelto B.A.;Macinato Scelto B.A.
Macinato Scelto Equino;Macinato Scelto Equino
Macinato Scelto Suino;Macinato Scelto Suino
Macinato Scelto Vitello;Macinato Scelto Vitello
Macinato Scottona B.A.;Macinato Scottona B.A.
Macinato Suino;Macinato Suino
Macinato Tacchino;Macinato Tacchino
Macinato Vitello;Macinato Vitello
Magatello B.A.;Magatello B.A.
Magatello Piemontese B.A.;Magatello Piemontese B.A.
Magatello Scottona B.A.;Magatello Scottona B.A.
Magatello Vitello;Magatello Vitello
Maialino Porchettato;Maialino Porchettato
Mascella B. A.;Mascella B. A.
MetÓ Gallina;Metà Gallina
MetÃ  Oca;Metà Oca
Mezzo Cappone;Mezzo Cappone
Mezzo Coniglio In Parti;Mezzo Coniglio In Parti
Milza B.A;Milza B.A
Milza B.A.;Milza B.A.
Milza Vitello;Milza Vitello
Mollame Suino;Mollame Suino
Muscolo Intero B.A.;Muscolo Intero B.A.
Muscolo Intero Chianina B.A;Muscolo Intero Chianina B.A
Muscolo Intero Equino;Muscolo Intero Equino
Muscolo Intero Piemontese B.A.;Muscolo Intero Piemontese B.A.
Muscolo Intero Scottona B.A.;Muscolo Intero Scottona B.A.
Muscolo Intero Vitello;Muscolo Intero Vitello
Nervi B.A.;Nervi B.A.
Nervi Conditi B.A.;Nervi Conditi B.A.
Nervi Conditi Vitello;Nervi Conditi Vitello
Nervi Vitello;Nervi Vitello
Oca In Parti / A Pezzi;Oca In Parti / A Pezzi
Oca Intera / Busto;Oca Intera / Busto
Olive Ascolane;Olive Ascolane
Orecchie Suino;Orecchie Suino
Ossa Per Bollito;Ossa Per Bollito
Ossa Per Bollito B.A.;Ossa Per Bollito B.A.
Ossobuco B.A.;Ossobuco B.A.
Ossobuco Chianina B.A;Ossobuco Chianina B.A
Ossobuco Equino;Ossobuco Equino
Ossobuco Piemontese B.A.;Ossobuco Piemontese B.A.
Ossobuco Scottona B.A.;Ossobuco Scottona B.A.
Ossobuco Suino;Ossobuco Suino
Ossobuco Tacchino;Ossobuco Tacchino
Ossobuco Vitello;Ossobuco Vitello
Pagliata Abbacchio;Pagliata Abbacchio
Pagliata Vitello;Pagliata Vitello
Pancetta A Fette Suino;Pancetta A Fette Suino
Pancetta A Tranci Suino;Pancetta A Tranci Suino
Pancetta Suino;Pancetta Suino
Pecora In Parti;Pecora In Parti
Pesce / Piccione / Campanello B.A.;Pesce / Piccione / Campanello B.A.
Pesce / Piccione / Campanello Scottona B.A.;Pesce / Piccione / Campanello Scottona B.A.
Pesce / Piccione / Campanello Vitello;Pesce / Piccione / Campanello Vitello
Petto / Fesa Tranci Vitello;Petto / Fesa Tranci Vitello
Petto A Fette Impanato Pollo;Petto A Fette Impanato Pollo
Petto A Fette Pollo;Petto A Fette Pollo
Petto Anatra;Petto Anatra
Petto Intero Pollo;Petto Intero Pollo
Petto Intero Pollo X2;Petto Intero Pollo
Petto Intero Pollo X3;Petto Intero Pollo
Petto Quaglia;Petto Quaglia
Pezza / Samone Vitello;Pezza / Samone Vitello
Pezza / Scamone B.A.;Pezza / Scamone B.A.
Picanha B.A.;Picanha B.A.
Picanha Scottona B.A.;Picanha Scottona B.A.
Piccione In Part / A Pezzi;Piccione In Part / A Pezzi
Piccione Intero / Busto;Piccione Intero / Busto
Pizzy Snack Margherita Tacchino;Pizzy Snack Margherita Tacchino
Pollo A Pezzi Allevato A Terra;Pollo A Pezzi Allevato A Terra
Pollo In Parti / A Pezzi;Pollo In Parti / A Pezzi
Pollo In Parti / A Pezzi Condito;Pollo In Parti / A Pezzi Condito
Pollo In Parti / A Pezzi Ruspante;Pollo In Parti / A Pezzi Ruspante
Busto Pollo;Pollo Intero / Busto
Pollo Intero;Pollo Intero / Busto
Pollo Intero / Busto X2;Pollo Intero / Busto
Pollo Intero / Busto Alla Diavola;Pollo Intero / Busto Alla Diavola
Pollo Intero / Busto Allevato A Terra;Pollo Intero / Busto Allevato A Terra
Pollo Intero / Busto Ruspante;Pollo Intero / Busto Ruspante
Pollo Ripieno;Pollo Ripieno
Polmone B.A;Polmone B.A
Polmone B.A.;Polmone B.A.
Polmone E Milza B.A;Polmone E Milza B.A
Polmone Vitello;Polmone Vitello
Polpa / Sottofesa Con Osso Piemontese B.A;Polpa / Sottofesa Con Osso Piemontese B.A
Polpa / Sottofesa Senza Osso Piemontese B.A;Polpa / Sottofesa Senza Osso Piemontese B.A
Polpa A Tranci B.A;Polpa A Tranci B.A
Polpa A Tranci Chianina B.A;Polpa A Tranci Chianina B.A
Polpa Arrosto Equino;Polpa Arrosto Equino
Polpa Coscia B.A;Polpa Coscia B.A
Polpa / Sottofesa Con Osso B.A.;Polpa Scelta Con Osso B.A.
Polpa Scelta / Sottofesa Con Osso B.A.;Polpa Scelta Con Osso B.A.
Polpa / Sottofesa Con Osso Vitello;Polpa Scelta Con Osso Vitello
Polpa Scelta B.A. Scottona;Polpa Scelta Scottona B.A.
Polpa Scelta Scottona B.A.;Polpa Scelta Scottona B.A.
Noce B.A.;Polpa Scelta Senza Osso B.A.
Polpa / Sottofesa Senza Osso B.A.;Polpa Scelta Senza Osso B.A.
Polpa Scelta / Sottofesa Senza Osso B.A.;Polpa Scelta Senza Osso B.A.
Polpa Spalla B.A.;Polpa Scelta Senza Osso B.A.
Noce Vitello;Polpa Scelta Senza Osso Vitello
Polpa / Sottofesa Senza Osso Vitello;Polpa Scelta Senza Osso Vitello
Polpa Spalla Vitello;Polpa Scelta Senza Osso Vitello
Polpa Sceltissima Con Osso B.A.;Polpa Sceltissima Con Osso B.A.
Polpa Sceltissima Con Osso Vitello;Polpa Sceltissima Con Osso Vitello
Polpa Sceltissima Senza Osso B.A.;Polpa Sceltissima Senza Osso B.A.
Polpa Sceltissima Senza Osso Scottona B.A.;Polpa Sceltissima Senza Osso Scottona B.A.
Polpa Sceltissima Senza Osso Vitello;Polpa Sceltissima Senza Osso Vitello
Polpa Senza Osso Suino;Polpa Senza Osso Suino
Polpa Spalla Piemontese B.A;Polpa Spalla Piemontese B.A
Polpette B.A.;Polpette B.A.
Polpette Chianina B.A.;Polpette Chianina B.A.
Polpette Con Formaggio Tacchino E Suino;Polpette Con Formaggio Tacchino E Suino
Polpette Con Spinaci Tacchino E Suino;Polpette Con Spinaci Tacchino E Suino
Polpette Miste (B.A. E Suino);Polpette Miste (B.A. E Suino)
Polpette Pollo;Polpette Pollo 
Polpette Pollo E Tacchino;Polpette Pollo E Tacchino 
Polpette Suino;Polpette Suino
Polpette Tacchino;Polpette Tacchino 
Polpette Tacchino Condite;Polpette Tacchino Condite
Polpette Tacchino E Suino;Polpette Tacchino E Suino
Polpette Vitello;Polpette Vitello
Polpettone B.A.;Polpettone B.A.
Polpettone Misto ( Pollo Suino Tacchino);Polpettone Misto ( Pollo Suino Tacchino)
Polpettone Pollo;Polpettone Pollo
Polpettone Tacchino;Polpettone Tacchino
Polpettone Vitello;Polpettone Vitello
Preparato Per Bollito B.A.;Preparato Per Bollito B.A.
Punta A Fette B.A.;Punta A Fette B.A.
Punta A Fette C/O Scottona B.A;Punta A Fette C/O Scottona B.A
Punta A Fette C/O Scottona B.A.;Punta A Fette C/O Scottona B.A.
Punta A Fette Piemontese B.A.;Punta A Fette Piemontese B.A.
Punta A Fette S/O Scottona B.A;Punta A Fette S/O Scottona B.A
Punta A Fette S/O Scottona B.A.;Punta A Fette S/O Scottona B.A.
Punta A Fette Vitello;Punta A Fette Vitello
Punta Di Petto Intera B.A;Punta Di Petto Intera B.A
Punta Di Petto Intera B.A.;Punta Di Petto Intera B.A.
Quaglia Intera / Busto;Quaglia Intera / Busto
Quaglia Intera / Busto X2;Quaglia Intera / Busto
Quaglia Intera / Busto X3;Quaglia Intera / Busto
Quaglia Intera / Busto X4;Quaglia Intera / Busto
Quaglia Intera / Busto X5;Quaglia Intera / Busto
Quarti Anteriori Maialino;Quarti Anteriori Maialino
Quarti Posteriori Maialino;Quarti Posteriori Maialino
Quarti Posteriori Pollo;Quarti Posteriori Pollo
Quarto Anteriore Agnello;Quarto Anteriore Agnello
Quarto Posteriore Agnello;Quarto Posteriore Agnello
Reale A Fette Equino;Reale A Fette Equino
Rene B.A.;Rene B.A.
Rene Suino;Rene Suino
Rene Vitello;Rene Vitello
Ritagli Pollo;Ritagli Pollo
RollÚ Tacchino;RollÚ Tacchino
Salamella / Luganega B.A.;Salamella / Luganega B.A.
Salamella / Luganega Piccante B.A.;Salamella / Luganega B.A.
Salamella / Luganega Pollo;Salamella / Luganega Pollo
Salamella / Luganega Pollo E Suino;Salamella / Luganega Pollo E Suino
Salamella / Luganega Pollo E Tacchino;Salamella / Luganega Pollo E Tacchino
Salamella / Luganega Aromatizzata Suino;Salamella / Luganega Suino
Salamella / Luganega Piccante Suino;Salamella / Luganega Suino
Salamella / Luganega Suino;Salamella / Luganega Suino
Salamella / Luganega Tacchino;Salamella / Luganega Tacchino
Salamella / Luganica Equino;Salamella / Luganica Equino
Salsiccia / Salamella Aromatizzata Suino;Salsiccia / Salamella Aromatizzata Suino
Salsiccia / Salamella B.A;Salsiccia / Salamella B.A
Salsiccia / Salamella B.A.;Salsiccia / Salamella B.A.
Salsiccia / Salamella Condita Suino;Salsiccia / Salamella Condita Suino 
Salsiccia / Salamella Di Fegato;Salsiccia / Salamella Di Fegato
Salsiccia / Salamella Di Prosciutto Suino;Salsiccia / Salamella Di Prosciutto Suino
Salsiccia / Salamella Mantovana Suino;Salsiccia / Salamella Mantovana Suino
Salsiccia / Salamella Mignon Suino;Salsiccia / Salamella Mignon Suino
Salsiccia / Salamella Pollo;Salsiccia / Salamella Pollo 
Salsiccia / Salamella Pollo E Tacchino;Salsiccia / Salamella Pollo E Tacchino
Salsiccia / Salamella Punta Di Coltello Suino;Salsiccia / Salamella Punta Di Coltello Suino
Salsiccia / Salamella A Pezzi Suino;Salsiccia / Salamella Suino
Salsiccia / Salamella Macinata Suino;Salsiccia / Salamella Suino
Salsiccia / Salamella Piccante Suino;Salsiccia / Salamella Suino
Salsiccia / Salamella Suino E B.A;Salsiccia / Salamella Suino E B.A
Salsiccia / Salamella Suino E Pollo;Salsiccia / Salamella Suino E Pollo
Salsiccia / Salamella Suino E Tacchino;Salsiccia / Salamella Suino E Tacchino
Salsiccia / Salamella Suino E Vitello;Salsiccia / Salamella Suino E Vitello
Salsiccia / Salamella Suino Pollo E Tacchino;Salsiccia / Salamella Suino Pollo E Tacchino
Salsiccia / Salamella Tacchino;Salsiccia / Salamella Tacchino 
Salsiccia / Salamella Umbra Suino;Salsiccia / Salamella Umbra Suino
Salsiccia / Salamella Macinata Vitello;Salsiccia / Salamella Vitello 
Salsiccia Coniglio;Salsiccia Coniglio
Salsiccia Legata A Pezzi Cinghiale;Salsiccia Legata A Pezzi Cinghiale
Salsiccia Legata B.A.;Salsiccia Legata B.A.
Salsiccia Legata Calabra Suino;Salsiccia Legata Calabra Suino
Salsiccia Legata Coniglio;Salsiccia Legata Coniglio
Salsiccia Legata Di Fegato;Salsiccia Legata Di Fegato
Salsiccia Legata Di Fegato Suino;Salsiccia Legata Di Fegato Suino
Salsiccia Legata Di Prosciutto Suino;Salsiccia Legata Di Prosciutto Suino
Salsiccia Legata Mantovana Suino;Salsiccia Legata Mantovana Suino
Salsiccia Legata Mignon Suino;Salsiccia Legata Mignon Suino
Salsiccia Legata Norcia;Salsiccia Legata Norcia
Salsiccia Legata Norcia Suino;Salsiccia Legata Norcia Suino
Salsiccia Legata Pollo;Salsiccia Legata Pollo
Salsiccia Legata Pollo E Suino;Salsiccia Legata Pollo E Suino
Salsiccia Legata Pollo E Tacchino;Salsiccia Legata Pollo E Tacchino
Salsiccia Legata Pollo Suino E Tacchino;Salsiccia Legata Pollo Suino E Tacchino
Salsiccia Legata Punta Di Coltello Suino;Salsiccia Legata Punta Di Coltello Suino
Salsiccia Legata A Pezzi Suino;Salsiccia Legata Suino
Salsiccia Legata Aromatizzata Suino;Salsiccia Legata Suino
Salsiccia Legata Calabra;Salsiccia Legata Suino
Salsiccia Legata Condita Suino;Salsiccia Legata Suino
Salsiccia Legata Macinata Suino;Salsiccia Legata Suino
Salsiccia Legata Piccante Suino;Salsiccia Legata Suino
Salsiccia Legata Verzino Dolce;Salsiccia Legata Suino
Salsiccia Legata Suino E B.A;Salsiccia Legata Suino E B.A
Salsiccia Legata Suino E Pollo;Salsiccia Legata Suino E Pollo
Salsiccia Legata Suino E Tacchino;Salsiccia Legata Suino E Tacchino
Salsiccia Legata Suino Pollo E Tacchino;Salsiccia Legata Suino Pollo E Tacchino
Salsiccia Legata Tacchino;Salsiccia Legata Tacchino
Salsiccia Legata Verzino Dolce Suino;Salsiccia Legata Verzino Dolce Suino
Salsiccia Legata Zampina;Salsiccia Legata Zampina
Salsiccia Legata Zampina Suino;Salsiccia Legata Zampina Suino
Salsiccia Mista (Suino, Pollo, Tacchino);Salsiccia Mista (Suino, Pollo, Tacchino)
Sanguinaccio Suino;Sanguinaccio Suino
Scaloppe B.A.;Scaloppe B.A.
Scaloppe Piemontese B.A;Scaloppe Piemontese B.A
Scaloppe Pollo;Scaloppe Pollo
Scaloppe Scottona B.A;Scaloppe Scottona B.A
Scaloppe Scottona B.A.;Scaloppe Scottona B.A.
Scaloppe Vitello;Scaloppe Vitello
Scamone Equino;Scamone Equino
Scamone Puledro;Scamone Puledro
Scamone Vitello;Scamone Vitello
Scaramella / Corazza B.A.;Scaramella / Corazza B.A.
Sella maialino;Sella maialino
Sella Maialino;Sella Maialino
Selle Coniglio;Selle Coniglio
Selle Quglia;Selle Quglia
Sfilacci B.A.;Sfilacci B.A.
Sfilacci Equino;Sfilacci Equino 
Sottofiletto B.A.;Sottofiletto B.A.
Sottofiletto Piemontese B.A.;Sottofiletto Piemontese B.A.
Sottofiletto Vitello;Sottofiletto Vitello
Sovracosce Impanate Pollo;Sovracosce Impanate Pollo
Sovracosce Pollo;Sovracosce Pollo
Sovracoscio Tacchino;Sovracoscio Tacchino
Spalla A Tranci Suino;Spalla A Tranci Suino
Spalla Abbacchio;Spalla Abbacchio
Spalla Agnello;Spalla Agnello
Spalla Con Osso Suino;Spalla Con Osso Suino
Spalla Maialino;Spalla Maialino
Spalla Tranci Coniglio;Spalla Tranci Coniglio
Spiedini B.A.;Spiedini B.A.
Spiedini Pollo;Spiedini Pollo
Spiedini Pollo E Suino;Spiedini Pollo E Suino
Spiedini Pollo E Tacchino;Spiedini Pollo E Tacchino
Spiedini Pollo Tacchino E Suino;Spiedini Pollo Tacchino E Suino
Spiedini Suino;Spiedini Suino
Spiedini Tacchino;Spiedini Tacchino
Spinacine / Ortaiole Pollo;Spinacine / Ortaiole Pollo
Spinacine / Ortaiole Pollo E Tacchino;Spinacine / Ortaiole Pollo E Tacchino
Spinacine / Ortaiole Tacchino;Spinacine / Ortaiole Tacchino
Spinacine Con Mozzarella Pollo;Spinacine Con Mozzarella Pollo
Spinacine Pollo;Spinacine Pollo
Stinco Suino;Stinco Suino
Stinco Vitello;Stinco Vitello
Straccetti B.A.;Straccetti B.A.
Straccetti Black Angus B.A.;Straccetti Black Angus B.A.
Straccetti Chianina B.A.;Straccetti Chianina B.A.
Straccetti Conditi Pollo;Straccetti Conditi Pollo
Straccetti Danese B.A.;Straccetti Danese B.A.
Straccetti Galletto;Straccetti Galletto
Straccetti Piemontese B.A.;Straccetti Piemontese B.A.
Straccetti Pollo;Straccetti Pollo
Straccetti Scottona B.A.;Straccetti Scottona B.A.
Straccetti Struzzo;Straccetti Struzzo
Straccetti Suino;Straccetti Suino
Straccetti Tacchino;Straccetti Tacchino
Straccetti Vitello;Straccetti Vitello
Stuzzichini Di Prosciutto Cotto;Stuzzichini Di Prosciutto Cotto
Suino Dakota;Suino Dakota
Suino In Parti / A Pezzi;Suino In Parti / A Pezzi
Tacchino Dakota;Tacchino Dakota
Tacchino In Parti / A Pezzi;Tacchino In Parti / A Pezzi
Tacchino In Parti / A Pezzi Condito;Tacchino In Parti / A Pezzi Condito
Tagliata Australiana B.A.;Tagliata Australiana B.A.
Tagliata B.A.;Tagliata B.A.
Tagliata Black Angus B.A.;Tagliata Black Angus B.A.
Tagliata Chianina B.A.;Tagliata Chianina B.A.
Tagliata Danese B.A.;Tagliata Danese B.A.
Tagliata Equino;Tagliata Equino
Tagliata Piemontese B.A.;Tagliata Piemontese B.A.
Tagliata Pollo;Tagliata Pollo
Tagliata Scottona B.A.;Tagliata Scottona B.A.
Tagliata Struzzo;Tagliata Struzzo
Tagliata Suino;Tagliata Suino
Tagliata Tacchino;Tagliata Tacchino
Tagliata Vitello;Tagliata Vitello
Tartare B.A.;Tartare B.A. 
Tartare Piemontese B.A.;Tartare Piemontese B.A.
Tartare Scottona B.A.;Tartare Scottona B.A.
Tartare Vitello;Tartare Vitello
Tenerelle Pollo;Tenerelle Pollo
Tenerone B. A.;Tenerone B. A.
Testa Agnello;Testa Agnello 
Testa Maialino;Testa Maialino
Testina B. A.;Testina B. A.
Testina Coniglio;Testina Coniglio
Testina Vitello;Testina Vitello
Trattalia;Trattalia
Trinca A Fette B.A;Trinca A Fette B.A
Trinca A Fette B.A.;Trinca A Fette B.A.
Trippa B.A.;Trippa B.A.
Turcinieddi;Turcinieddi
Zampi / Piedini Agnello;Zampi / Piedini Agnello
Zampi / Piedini B.A.;Zampi / Piedini B.A.
Zampi / Piedini Pecora;Zampi / Piedini Pecora
Zampi / Piedini Suino;Zampi / Piedini Suino
